mol_i,mol_j,sim,∆p,SALI
COc1ccc(/C=C2\S/C(=N\c3nc(-c4c(C)n(C)n(-c5ccccc5)c4=O)cs3)N(c3ccccc3)C2=O)cc1,Cc1ccc(/C=C2\S/C(=N\c3nc(-c4c(C)n(C)n(-c5ccccc5)c4=O)cs3)N(c3ccccc3)C2=O)cc1,0.8507462686567164,1.0409586076789061,6.974375943129853
COc1ccc(C(=O)CN2C(=O)S/C(=C\C3=C(Cl)c4cc(C)c(C)cc4CCC3)C2=O)cc1,Cc1cc2c(cc1C)C(Cl)=C(/C=C1\SC(=O)N(CC(=O)c3ccc(Br)cc3)C1=O)CCC2,0.8153846153846154,1.0136762229492344,5.490716466260827
COc1ccc(C(=O)CN2C(=O)S/C(=C\C3=C(Cl)c4cc(C)c(C)cc4CCC3)C2=O)cc1,Cc1cc2c(cc1C)C(Cl)=C(/C=C1\SC(=O)N(CC(=O)c3ccc(Cl)cc3)C1=O)CCC2,0.8412698412698413,1.4571745730408203,9.180141975262725
COc1ccc(C(=O)CN2C(=O)S/C(=C\C3=C(Cl)c4ccccc4CCC3)C2=O)cc1,Cc1ccc(C(=O)CN2C(=O)S/C(=C\C3=C(Cl)c4ccccc4CCC3)C2=O)cc1,0.8225806451612904,1.2644011003018196,7.126584215499225
COc1ccc(C(=O)CN2C(=O)S/C(=C\C3=C(Cl)c4ccccc4CCC3)C2=O)cc1,O=C(CN1C(=O)S/C(=C\C2=C(Cl)c3ccccc3CCC2)C1=O)c1ccc(Cl)cc1,0.819672131147541,1.2644011003018196,7.011639946215844
COc1ccc(CCNC(=O)c2cccc(C3SCC(=O)N3c3ccccc3OC)c2)cc1,COc1ccccc1N1C(=O)CSC1c1cccc(C(=O)NCCCc2ccccc2)c1,0.803030303030303,2.386018513289353,12.113570952416493
COc1ccc(C/N=C2\NC(=O)/C(=C3\CCNC(=O)c4[nH]c5ccccc5c43)S2)cc1,O=C1N/C(=N\Cc2ccccc2)S/C1=C1/CCNC(=O)c2[nH]c3ccccc3c21,0.8135593220338984,1.1111579638536364,5.9598152943874725
COc1ccccc1N1C(=O)CSC1c1cccc(C(=O)NCCCc2ccccc2)c1,COc1ccccc1N1C(=O)CSC1c1cccc(C(=O)NCCc2ccc(F)cc2)c1,0.803030303030303,1.827864007660473,9.279877848742553
COc1ccccc1N1C(=O)CSC1c1cccc(C(=O)NCCCc2ccccc2)c1,COc1ccccc1N1C(=O)CSC1c1cccc(C(=O)NCCc2ccc(O)cc2)c1,0.803030303030303,1.642629369164922,8.339460612344956
COc1ccccc1N1C(=O)CSC1c1cccc(C(=O)NCCCc2ccccc2)c1,COc1ccccc1N1C(=O)CSC1c1cccc(C(=O)NCCc2ccccc2)c1,0.9016393442622951,1.5176906325566213,15.429697895730376
Cc1cc2c(cc1C)C(Cl)=C(/C=C1\SC(=O)N(CC(=O)c3ccc(Br)cc3)C1=O)CCC2,Cc1cc2c(cc1C)C(Cl)=C(/C=C1\SC(=O)N(CC(=O)c3ccccc3)C1=O)CCC2,0.8387096774193549,1.0136762229492344,6.28475361681283
Cc1cc2c(cc1C)C(Cl)=C(/C=C1\SC(=O)N(CC(=O)c3ccc(Br)cc3)C1=O)CCC2,Cc1ccc(C(=O)CN2C(=O)S/C(=C\C3=C(Cl)c4cc(C)c(C)cc4CCC3)C2=O)cc1,0.8688524590163934,1.0136762229492344,7.7292222646681426
Cc1cc2c(cc1C)C(Cl)=C(/C=C1\SC(=O)N(CC(=O)c3ccc(Cl)cc3)C1=O)CCC2,Cc1cc2c(cc1C)C(Cl)=C(/C=C1\SC(=O)N(CC(=O)c3ccccc3)C1=O)CCC2,0.8666666666666667,1.4571745730408203,10.928727332351162
Cc1cc2c(cc1C)C(Cl)=C(/C=C1\SC(=O)N(CC(=O)c3ccc(Cl)cc3)C1=O)CCC2,Cc1ccc(C(=O)CN2C(=O)S/C(=C\C3=C(Cl)c4cc(C)c(C)cc4CCC3)C2=O)cc1,0.8983050847457628,1.4571745730408203,14.328742402267784
Cc1ccc(C(=O)CN2C(=O)S/C(=C\C3=C(Cl)c4ccccc4CCC3)C2=O)cc1,O=C(CN1C(=O)S/C(=C\C2=C(Cl)c3ccccc3CCC2)C1=O)c1ccc(Br)cc1,0.8333333333333334,1.2403321553103694,7.441948280172538
Cc1ccc(C(=O)CN2C(=O)S/C(=C\C3=C(Cl)c4ccccc4CCC3)C2=O)cc1,O=C(CN1C(=O)S/C(=C\C2=C(Cl)c3ccccc3CCC2)C1=O)c1ccccc1,0.8596491228070176,1.3106911408763793,9.338607841163334
Cc1ccc(CC(=O)Nc2n[nH]c3ccc(N4CCCS4(=O)=O)cc23)cc1,O=C(Cc1ccc(-c2ccccc2)cc1)Nc1n[nH]c2ccc(N3CCCS3(=O)=O)cc12,0.8,1.66957043383705,8.347810430133102
Cc1ccc(C/N=C2\NC(=O)/C(=C3\CCNC(=O)c4[nH]c5ccccc5c43)S2)cc1,O=C1N/C(=N\Cc2ccc(Cl)cc2)S/C1=C1/CCNC(=O)c2[nH]c3ccccc3c21,0.8305084745762712,1.43343430196364,8.457212484031821
Cc1ccc(C/N=C2\NC(=O)/C(=C3\CCNC(=O)c4[nH]c5ccccc5c43)S2)cc1,O=C1N/C(=N\Cc2ccc(F)cc2)S/C1=C1/CCNC(=O)c2[nH]c3ccccc3c21,0.8305084745762712,1.46887117929424,8.666288826731938
Cc1ccc(C/N=C2\NC(=O)/C(=C3\CCNC(=O)c4[nH]c5ccccc5c43)S2)cc1,O=C1N/C(=N\Cc2ccccc2)S/C1=C1/CCNC(=O)c2[nH]c3ccccc3c21,0.8571428571428571,1.5894451105000895,11.126037891235384
Cc1ccc(C/N=C2\NC(=O)/C(=C3\CCNC(=O)c4[nH]ccc43)S2)cc1,O=C1N/C(=N\Cc2ccc(Cl)cc2)S/C1=C1/CCNC(=O)c2[nH]ccc21,0.8148148148148148,1.041914151478915,5.6263060359335455
