SMILES,core,fragments,qsar,qed,sa,score,cafe_enrichment,cafe_boost,rank
O=S1(=O)CCCN1c1cc2nccc(ONc3nc4cc(N5CCOCC5)ccc4[nH]3)c2cc1N1CCCC1,[*]N1CCCS1(=O)=O,[*]c1cc2nccc([*])c2cc1[*]; [*]O[*]; [*]N1CCCC1 (AC); [*]N[*]; [*]c1nc2cc([*])ccc2[nH]1; [*]N1CCOCC1,0.8759184169982019,0.3487722966065013,0.7436497736805635,0.7175817355928065,8.022975,0.0,78
COc1ccc2[nH]nc(-c3ccc4[nH]c(-c5ccnc6cc(N7CCCS7(=O)=O)c(N7CCOCC7)cc56)nc4c3)c2c1,[*]N1CCCS1(=O)=O,[*]c1cc2nccc([*])c2cc1[*]; [*]c1nc2cc([*])ccc2[nH]1; [*]N1CCOCC1; [*]c1n[nH]c2ccc([*])cc12; [*]OC,0.8811546379051153,0.2933629052266082,0.7561208478263364,0.7135827753379025,0.0,0.0,79
CN1CCN(C2SCC(=O)N2NC(=O)NOc2ccc(-c3n[nH]c4ccc(N5CCCS5(=O)=O)cc34)c(F)c2)CC1,[*]C(=O)NN1C(=O)CSC1[*],[*]N[*]; [*]N1CCN(C)CC1 (AC); [*]O[*]; [*]c1ccc([*])c(F)c1 (AC); [*]c1n[nH]c2ccc([*])cc12; [*]N1CCCS1(=O)=O,0.9392382375078728,0.35709774782333314,0.6598871830311592,0.7110697177802795,19.904723999999998,0.0,80
COCC(=O)C1SCC(=O)N1NC(=O)Nc1ccc(-c2n[nH]c3ccc(NN4CCCC4)cc23)c(F)c1,[*]C(=O)NN1C(=O)CSC1[*],[*]N[*]; [*]C(=O)C[*]; [*]c1ccc([*])c(F)c1 (AC); [*]OC; [*]c1n[nH]c2ccc([*])cc12; [*]N[*]; [*]N1CCCC1 (AC),0.9000848274512926,0.35173167323444815,0.6940194144966281,0.7079880314260579,13.088757000000001,0.0,81
COc1ccc2[nH]nc(-c3cc(-c4nc5cc(-c6ccccc6F)ccc5[nH]4)c(N4CCCS4(=O)=O)cc3N3CCN(C)CC3)c2c1,[*]N1CCCS1(=O)=O,[*]c1cc([*])c([*])cc1[*] (AC); [*]N1CCN(C)CC1 (AC); [*]c1n[nH]c2ccc([*])cc12; [*]c1nc2cc([*])ccc2[nH]1; [*]OC; [*]c1ccccc1F (AC),0.8865263534799315,0.2315616010306735,0.7529225281687978,0.7020918728656266,26.664282999999998,0.0,82
[H]C1SC(=O)N(Cc2ccc(-c3ccc(O)cc3)cc2)C1=O,[*]C1SC(=O)N([*])C1=O,[H][*]; [*]C[*]; [*]c1ccc([*])cc1; [*]c1ccc(O)cc1 (AC),0.3889349132143676,0.9448482608030037,0.889453443883605,0.7003249949997898,8.339461,0.03881908770487802,83
[H]C1SCC(=O)N1NC(=O)NCCn1c(-c2cc(C(=O)OC)c(ON3CCCS3(=O)=O)cc2NN2CCOCC2)nc2ccccc21,[*]C(=O)NN1C(=O)CSC1[*],[*]N[*]; [H][*]; [*]CC[*] (AC); [*]n1c([*])nc2ccccc21; [*]c1cc([*])c([*])cc1[*] (AC); [*]C([*])=O; [*]O[*]; [*]N[*]; [*]OC; [*]N1CCCS1(=O)=O; [*]N1CCOCC1,0.9237692354249085,0.26273826425915225,0.6863773899158419,0.6966063029881306,51.095882,0.0,84
COc1ccnc2cc(NNC(=O)NN3C(=O)CSC3c3ccc(CCN4CCCS4(=O)=O)c(F)c3)c(-c3ccc(Br)cc3)cc12,[*]C(=O)NN1C(=O)CSC1[*],[*]N[*]; [*]c1ccc([*])c(F)c1 (AC); [*]N[*]; [*]CC[*] (AC); [*]c1cc2nccc([*])c2cc1[*]; [*]N1CCCS1(=O)=O; [*]OC; [*]c1ccc(Br)cc1 (AC),0.925940192654996,0.20044298938875676,0.6778723001008845,0.6816135949801035,63.784279,0.0,85
[H]C1SC(=O)N(Cc2ccc(-c3ccccc3F)cc2)C1=O,[*]C1SC(=O)N([*])C1=O,[H][*]; [*]C[*]; [*]c1ccc([*])cc1; [*]c1ccccc1F (AC),0.3742406937123034,0.8674281158418476,0.8925167772169385,0.6801886115400663,5.385627,0.026437095838649505,86
CN1CCN(c2ccc3[nH]nc(CCOOc4ccc(NC(=O)NN5C(=O)CSC5N5CCCS5(=O)=O)cc4F)c3c2)CC1,[*]C(=O)NN1C(=O)CSC1[*],[*]N[*]; [*]N1CCCS1(=O)=O; [*]c1ccc([*])c(F)c1 (AC); [*]O[*]; [*]O[*]; [*]CC[*] (AC); [*]c1n[nH]c2ccc([*])cc12; [*]N1CCN(C)CC1 (AC),0.945945131773812,0.17837729023482946,0.6502983063714065,0.6741728333050534,64.560892,0.0,87
