ChEMBL_ID,canonical_smiles,activity_flag,standard_value,pIC50
CHEMBL2260544,COc1cccc(-c2nnc(NC(=O)CC3SC(=O)NC3=O)s2)c1,inactive,60000.0,4.221848749616356
CHEMBL2236298,COc1cccc(/C=C2\SC(=O)N(Cc3ccc(C(=O)O)cc3)C2=O)c1,inactive,55000.0,4.259637310505756
CHEMBL3261561,COc1cccc(C2SCC(=O)N2c2ccccc2OC)c1,inactive,50000.0,4.301029995663981
CHEMBL3261542,COc1cccc(N2C(=O)CSC2c2cccc(Br)c2)c1,inactive,50000.0,4.301029995663981
CHEMBL2316331,COc1cccc2c1OCC(/C=C1\SC(=S)N(CC(=O)O)C1=O)=C2,inactive,200000.0,3.6989700043360187
CHEMBL3261557,COc1ccccc1N1C(=O)CSC1Cc1ccccc1,inactive,50000.0,4.301029995663981
CHEMBL3261552,COc1ccccc1N1C(=O)CSC1c1ccc(Br)cc1,inactive,48490.0,4.314347815884475
CHEMBL3261556,COc1ccccc1N1C(=O)CSC1c1ccc2ccccc2n1,inactive,50000.0,4.301029995663981
CHEMBL3261541,COc1ccccc1N1C(=O)CSC1c1cccc(Br)c1,active,1870.0,5.728158393463501
CHEMBL3261568,COc1ccccc1N1C(=O)CSC1c1cccc(C(=O)N2CCCCC2)c1,inactive,50000.0,4.301029995663981
CHEMBL3261572,COc1ccccc1N1C(=O)CSC1c1cccc(C(=O)NCCCc2ccccc2)c1,inactive,31620.0,4.50003813440381
CHEMBL3261573,COc1ccccc1N1C(=O)CSC1c1cccc(C(=O)NCCc2ccc(Br)cc2)c1,active,210.0,6.6777807052660805
CHEMBL3261576,COc1ccccc1N1C(=O)CSC1c1cccc(C(=O)NCCc2ccc(Cl)cc2)c1,active,160.0,6.795880017344075
CHEMBL3261575,COc1ccccc1N1C(=O)CSC1c1cccc(C(=O)NCCc2ccc(F)cc2)c1,active,470.0,6.327902142064283
CHEMBL3261578,COc1ccccc1N1C(=O)CSC1c1cccc(C(=O)NCCc2ccc(O)cc2)c1,active,720.0,6.142667503568732
CHEMBL3261571,COc1ccccc1N1C(=O)CSC1c1cccc(C(=O)NCCc2ccccc2)c1,active,960.0,6.017728766960431
CHEMBL3261574,COc1ccccc1N1C(=O)CSC1c1cccc(C(=O)NCCc2ccccc2Br)c1,active,8520.0,5.0695604052333
CHEMBL3261570,COc1ccccc1N1C(=O)CSC1c1cccc(C(=O)NCc2ccccc2)c1,active,5060.0,5.295849483160201
