fragment_smiles,ac_enrichment,n_cliff_pairs,cliff_pairs,cliff_pair_indices
[*]N1CCCC1,8.022975386025703,1,COc1cc2c(Oc3c(F)cc(NC(=O)NN4C(=O)CSC4c4c(F)cccc4F)cc3F)ccnc2cc1OCCCN1CCCC1|COc1cc2c(Oc3c(F)cc(NC(=O)NN4C(=O)CSC4c4c(F)cccc4F)cc3F)ccnc2cc1OCCCN1CCc2sccc2C1,4
[*]c1cc([*])c([*])cc1[*],6.4397138606791176,1,COc1cc(OC)c(-c2nc3cc(/C=C4\SC(=O)N(CC(=O)N5CCOCC5)C4=O)ccc3[nH]2)cc1OC|COc1ccc(-c2nc3cc(/C=C4\SC(=O)N(CC(=O)N5CCOCC5)C4=O)ccc3[nH]2)cc1OC,3
[*]c1ccccc1F,5.385626950123777,1,O=C(O)CN1C(=O)/C(=C/c2nc3ccccc3n2Cc2ccc(Br)cc2F)SC1=S|O=C(O)CN1C(=O)/C(=C/c2nc3ccccc3n2Cc2ccccc2F)SC1=S,46
[*]c1ccc([*])c(F)c1,5.065781901380346,1,COc1cc2c(Oc3ccc(C4SCC(=O)N4NC(=O)Nc4ccc(F)cc4F)cc3Cl)ccnc2cc1OCCCN1CCOCC1|COc1cc2c(Oc3ccc(C4SCC(=O)N4NC(=O)Nc4ccc(F)cc4F)cc3F)ccnc2cc1OCCCN1CCN(C)CC1,6
[*]N1CCOCC1,4.461101331269758,2,COc1cc(OC)c(-c2nc3cc(/C=C4\SC(=O)N(CC(=O)N5CCCCC5)C4=O)ccc3[nH]2)cc1OC|COc1cc(OC)c(-c2nc3cc(/C=C4\SC(=O)N(CC(=O)N5CCOCC5)C4=O)ccc3[nH]2)cc1OC; COc1cc2c(Oc3ccc(C4SCC(=O)N4NC(=O)Nc4ccc(F)cc4F)cc3Cl)ccnc2cc1OCCCN1CCOCC1|COc1cc2c(Oc3ccc(C4SCC(=O)N4NC(=O)Nc4ccc(F)cc4F)cc3F)ccnc2cc1OCCCN1CCN(C)CC1,2; 6
[*]N1/C(=N/c2ccc(Cl)c([*])c2)SCC1([*])O,0.0,0,,
[*]CCCC[*],0.0,0,,
[*]C[*],0.0,0,,
[*]N([*])[*],0.0,0,,
[*]N1C(=S)SCC1([*])O,0.0,0,,
[*]N1/C(=N/c2ccccc2)SCC1([*])O,0.0,0,,
[*]N1CCC([*])CC1,0.0,0,,
[*]N1/C(=N/c2ccc(F)cc2)SCC1([*])O,0.0,0,,
[*]CCC,0.0,0,,
[*]N1/C(=N/c2ccc([*])cc2)SCC1([*])O,0.0,0,,
[*]N1/C(=N/c2cccc([*])c2)SCC1([*])O,0.0,0,,
[*]N1CCC(C)CC1,0.0,0,,
[*]N1/C(=N/c2ccc(F)c(Cl)c2)SCC1([*])O,0.0,0,,
[*]C(=O)C[*],0.0,0,,
[*]CC=C,0.0,0,,
[*]CC(C)C,0.0,0,,
[*]C(=O)NN1C(=O)C(C)(C)SC1[*],0.0,0,,
[*]c1cccc([*])c1,0.0,0,,
[*]c1cccc([N+](=O)[O-])c1,0.0,0,,
[*]c1cccc2ccccc12,0.0,0,,
[*]c1ccccc1Br,0.0,0,,
[*]c1ccccc1Cl,0.0,0,,
[*]c1ccccc1O,0.0,0,,
[*]c1ccccc1[*],0.0,0,,
[*]c1ccccc1[N+](=O)[O-],0.0,0,,
[*]c1cccnc1,0.0,0,,
[*]c1cn(C)c2ccc(Br)cc12,0.0,0,,
[*]c1cn(C)c2ccccc12,0.0,0,,
[*]O[*],0.0,0,,
[*]N1CCCN(C)CC1,0.0,0,,
[*]CC(=O)N1N=C(c2ccc(F)cc2)CC1[*],0.0,0,,
[*]CC,0.0,0,,
[*]N1CCN([*])CC1,0.0,0,,
[*]N1CCCS1(=O)=O,0.0,0,,
[*]CCC(=O)O,0.0,0,,
[*]CC1=C(Cl)c2ccccc2CCC1,0.0,0,,
[*]CC1=Cc2cc(Br)ccc2OC1,0.0,0,,
[*]CC1=Cc2cc(Br)ccc2OC1C,0.0,0,,
[*]CC1=Cc2cccc([*])c2OC1,0.0,0,,
[*]CC1=Cc2ccccc2OC1,0.0,0,,
[*]C([*])(C)O,0.0,0,,
[*]CBr,0.0,0,,
[*]CC(=O)O,0.0,0,,
[*]CCN,0.0,0,,
[*]c1cccc(Cl)c1,0.0,0,,
[*]n1c(=O)c([*])c(C)n1C,0.0,0,,
[*]n1c([*])nc2cc(Cl)ccc21,0.0,0,,
[*]n1c([*])nc2cc([*])ccc21,0.0,0,,
[*]n1c([*])nc2ccc([*])cc21,0.0,0,,
[*]n1c2ccccc2c2cc([*])ccc21,0.0,0,,
[*]n1cc([*])c2cc(Br)ccc21,0.0,0,,
[*]n1cc([*])c2cc([*])ccc21,0.0,0,,
[*]n1cc([*])c2ccccc21,0.0,0,,
