fragment_smiles,frequency_total,frequency_active,frequency_inactive,presence_active_pct,presence_inactive_pct,importance,stability,ac_enrichment,n_cliff_pairs,is_selected,selection_method,was_removed_by_AC
[*]c1n[nH]c2ccc([*])cc12,11,11,0,9.4,0.0,0.042528,1.0,0.0,0,True,threshold,False
[*]c1ccc(C)cc1,20,10,10,8.55,4.18,0.038261,1.0,-33.435522,14,False,threshold,True
[*]c1c(F)cccc1F,18,17,1,14.53,0.42,0.038244,1.0,0.0,0,True,threshold,False
[*]N1C(=O)CSC1[*],47,13,34,11.11,14.23,0.038092,1.0,0.0,0,False,not_selected,False
[*]c1ccc(Cl)cc1,25,6,19,5.13,7.95,0.036021,1.0,-20.828533,10,False,not_selected,False
[*]c1cccc([*])c1,21,10,11,8.55,4.6,0.032036,1.0,0.0,0,False,not_selected,False
[*]CC[*],21,11,10,9.4,4.18,0.031739,1.0,44.656168,4,True,AC_added,False
[*]CC,33,8,25,6.84,10.46,0.030469,1.0,0.0,0,False,not_selected,False
[*]c1ccc(Br)cc1,10,5,5,4.27,2.09,0.025768,1.0,14.062329,8,True,AC_added,False
[*]c1ccc(F)cc1,12,3,9,2.56,3.77,0.025341,1.0,-12.98158,4,False,not_selected,False
[*]c1ccccc1,44,11,33,9.4,13.81,0.02488,1.0,-15.677551,14,False,not_selected,False
[*]c1cc(F)c([*])c(F)c1,14,13,1,11.11,0.42,0.020193,1.0,0.0,0,False,not_selected,False
[*]CC1=C(Cl)c2cc(C)c(C)cc2CCC1,6,3,3,2.56,1.26,0.0192,1.0,0.0,0,False,not_selected,False
[*]N1CCCC1,9,9,0,7.69,0.0,0.016902,1.0,8.022975,1,True,AC_added,False
[*]c1ccccc1[*],40,11,29,9.4,12.13,0.016396,1.0,0.0,0,False,not_selected,False
[*]c1cc([*])c([*])c([*])c1,17,10,7,8.55,2.93,0.014877,1.0,0.0,0,False,not_selected,False
[*]CC1=C(Cl)c2ccccc2CCC1,6,3,3,2.56,1.26,0.012443,1.0,0.0,0,False,not_selected,False
[*]c1ccc([*])c(F)c1,6,6,0,5.13,0.0,0.011709,1.0,5.065782,1,True,AC_added,False
[*]CC(=O)O,58,18,40,15.38,16.74,0.010828,1.0,0.0,0,False,not_selected,False
[*]c1cccc(Br)c1,15,3,12,2.56,5.02,0.009587,1.0,0.0,0,False,not_selected,False
[*]N1CCCCC1,6,4,2,3.42,0.84,0.009509,1.0,-9.526883,1,False,not_selected,False
[*]c1ccccc1F,11,3,8,2.56,3.35,0.009129,1.0,5.385627,1,True,AC_added,False
[*]c1ccc([*])c([*])c1,10,6,4,5.13,1.67,0.009003,1.0,-6.439714,1,False,not_selected,False
[*]N1CCC([*])CC1,3,3,0,2.56,0.0,0.008358,1.0,0.0,0,False,not_selected,False
[*]n1c(=O)c([*])c(C)n1C,7,1,6,0.85,2.51,0.008176,1.0,0.0,0,False,not_selected,False
[*]c1ccccc1Cl,4,1,3,0.85,1.26,0.007907,1.0,0.0,0,False,not_selected,False
[*]N([*])[*],4,2,2,1.71,0.84,0.007602,1.0,0.0,0,False,not_selected,False
[*]n1c2ccccc2c2cc([*])ccc21,13,4,9,3.42,3.77,0.007574,1.0,0.0,0,False,not_selected,False
[*]c1ccc(F)cc1F,10,8,2,6.84,0.84,0.006844,1.0,0.0,0,False,not_selected,False
[*]N1CCN([*])CC1,4,4,0,3.42,0.0,0.006609,1.0,0.0,0,False,not_selected,False
[*]c1cccc(Cl)c1,13,2,11,1.71,4.6,0.006119,1.0,0.0,0,False,not_selected,False
[*]N1/C(=N/c2ccccc2)SCC1([*])O,9,1,8,0.85,3.35,0.005873,1.0,0.0,0,False,not_selected,False
[*]c1ccc(C#N)cc1,8,1,7,0.85,2.93,0.005578,1.0,27.540893,4,True,AC_added,False
[*]C1CCNC(=O)c2[nH]c3ccccc3c21,11,2,9,1.71,3.77,0.004406,1.0,0.0,0,False,not_selected,False
[*]C1CCNC(=O)c2[nH]ccc21,12,1,11,0.85,4.6,0.004297,1.0,0.0,0,False,not_selected,False
[*]n1c([*])nc2ccc(Cl)cc21,2,1,1,0.85,0.42,0.004283,1.0,-5.347143,1,False,not_selected,False
[*]C1SC(=S)NC1=O,8,1,7,0.85,2.93,0.004085,1.0,0.0,0,False,not_selected,False
[*]C1S/C(=N\c2nc([*])cs2)N([*])C1=O,6,1,5,0.85,2.09,0.00354,1.0,0.0,0,False,not_selected,False
[*]N(C)C,4,1,3,0.85,1.26,0.003502,1.0,-5.27912,1,False,not_selected,False
[*]C(C)(C)C,3,1,2,0.85,0.84,0.003229,1.0,-6.615883,1,False,not_selected,False
[*]C1S/C(=N/C[*])NC1=O,21,3,18,2.56,7.53,0.002732,1.0,0.0,0,False,not_selected,False
[*]N1CCN(C)CC1,2,2,0,1.71,0.0,0.001901,1.0,14.838942,2,True,AC_added,False
[*]c1ccc(Br)cc1F,2,1,1,0.85,0.42,0.001702,1.0,-5.385627,1,False,not_selected,False
[*]c1ccc([*])c(Cl)c1,4,4,0,3.42,0.0,0.001657,1.0,-5.065782,1,False,not_selected,False
[*]n1c([*])nc2cc(Cl)ccc21,2,1,1,0.85,0.42,0.001575,1.0,0.0,0,False,not_selected,False
[*]c1ccco1,6,2,4,1.71,1.67,0.001574,1.0,0.0,0,False,not_selected,False
[*]c1ccc2ccccc2c1,1,1,0,0.85,0.0,0.001373,1.0,0.0,0,False,not_selected,False
[*]c1[nH]c2ccc(Cl)cc2c1[*],1,1,0,0.85,0.0,0.001368,1.0,0.0,0,False,not_selected,False
[*]NC(=S)NN1C(=O)CSC1[*],1,1,0,0.85,0.0,0.001316,1.0,0.0,0,False,not_selected,False
[*]N1/C(=N/c2cccc([*])c2)SCC1([*])O,1,1,0,0.85,0.0,0.001229,1.0,0.0,0,False,not_selected,False
[*]c1nc2c3ccccc3c3ccccc3c2[nH]1,1,1,0,0.85,0.0,0.001137,1.0,0.0,0,False,not_selected,False
[*]SC,1,1,0,0.85,0.0,0.001065,1.0,0.0,0,False,not_selected,False
[*]N1CCSC1,1,1,0,0.85,0.0,0.000983,1.0,0.0,0,False,not_selected,False
[*]c1nc([*])c2ccccc2n1,1,1,0,0.85,0.0,0.000983,1.0,0.0,0,False,not_selected,False
[*]C([*])(C)O,1,1,0,0.85,0.0,0.000983,1.0,0.0,0,False,not_selected,False
[*]c1ccncc1,3,1,2,0.85,0.84,0.000962,1.0,-9.371706,1,False,not_selected,False
[*]c1cc([*])cc([*])c1,1,1,0,0.85,0.0,0.000843,1.0,0.0,0,False,not_selected,False
[*]c1ccc([N+](=O)[O-])cc1,5,1,4,0.85,1.67,0.000842,1.0,0.0,0,False,not_selected,False
[*]c1cc([*])c(Cl)cc1[*],1,1,0,0.85,0.0,0.000708,1.0,0.0,0,False,not_selected,False
[*]c1cn2ccc([*])cc2n1,1,1,0,0.85,0.0,0.000708,1.0,0.0,0,False,not_selected,False
[*]c1cccc(C)c1,2,2,0,1.71,0.0,0.000649,1.0,0.0,0,False,not_selected,False
[*]N1/C(=N/c2ccc(F)cc2)SCC1([*])O,3,1,2,0.85,0.84,0.000644,1.0,0.0,0,False,not_selected,False
[*]CCCC[*],1,1,0,0.85,0.0,0.000596,1.0,0.0,0,False,not_selected,False
[*]N1CCCN(C)CC1,1,1,0,0.85,0.0,0.000568,1.0,0.0,0,False,not_selected,False
[*]c1ccccn1,4,1,3,0.85,1.26,0.000546,1.0,0.0,0,False,not_selected,False
[*]CCC(=O)O,2,1,1,0.85,0.42,0.000534,1.0,0.0,0,False,not_selected,False
[*]n1c([*])nc2cc([*])ccc21,2,1,1,0.85,0.42,0.000515,1.0,0.0,0,False,not_selected,False
[*]C(=O)NN1C(=O)C(C)(C)SC1[*],1,1,0,0.85,0.0,0.000501,1.0,0.0,0,False,not_selected,False
[*]N1CCC(C)CC1,1,1,0,0.85,0.0,0.000419,1.0,0.0,0,False,not_selected,False
[*]c1ccc(O)cc1,2,1,1,0.85,0.42,0.000378,1.0,8.339461,1,True,AC_added,False
[*]n1c([*])nc2ccc(F)cc21,2,1,1,0.85,0.42,0.000362,1.0,-7.889195,1,False,not_selected,False
[*]CC(C)C,2,2,0,1.71,0.0,0.000336,1.0,0.0,0,False,not_selected,False
[*]c1cc(F)cc(F)c1,1,1,0,0.85,0.0,0.000282,1.0,0.0,0,False,not_selected,False
[*]C(=O)NN1C(=O)C(C)SC1[*],1,1,0,0.85,0.0,0.000131,0.0,0.0,0,False,not_selected,False
